TUCASEID,TULINENO,WECANTRIL,WEGENHTH,WEHBP,WEPAINMD,WEREST,WETYPICAL,WRTELIG,WUFINLWGT,WXCANTRIL,WXGENHTH,WXHBP,WXPAINMD,WXREST,WXTYPICAL
20130112120644,1,0,2,1,1,2,1,926,8041309.799195,0,0,0,0,0,0
20130112120655,1,10,3,1,2,1,2,840,12811627.646635,0,0,0,0,0,0
20130112120657,1,4,3,1,1,3,3,835,7808483.306332,0,0,0,0,0,0
20130112120668,1,7,3,1,1,2,2,733,7523315.106357,0,0,0,0,0,0
20130112120671,1,8,2,2,2,2,2,840,8176977.716816,0,0,0,0,0,0
20130112120673,1,6,3,2,2,2,3,720,6596022.762213,0,0,0,0,0,0
20130112120680,1,8,5,2,1,4,2,810,15121079.245650,0,0,0,0,0,0
20130112120681,1,5,5,1,1,1,2,660,8549683.317868,0,0,0,0,0,0
20130112120683,1,10,3,2,1,1,1,714,10242296.468280,0,0,0,0,0,0
20130112120684,1,5,4,2,1,2,1,840,15068712.998609,0,0,0,0,0,0
20130112120688,1,7,3,2,2,1,2,733,3505722.738617,0,0,0,0,0,0
20130112120698,1,8,1,2,1,1,2,1005,2501363.341557,0,0,0,0,0,0
20130112120700,1,10,2,2,2,2,2,952,16359833.952165,0,0,0,0,0,0
20130112120701,1,5,1,2,2,2,3,834,12657837.336109,0,0,0,0,0,0
20130112120703,1,7,3,2,2,3,2,1074,4733609.204745,0,0,0,0,0,0
20130112120704,1,6,2,2,2,1,2,746,4499787.892118,0,0,0,0,0,0
20130112120707,1,8,4,2,2,3,2,960,8100794.216474,0,0,0,0,0,0
20130112120709,1,9,3,2,2,1,2,915,68120114.996708,0,0,0,0,0,0
20130112120721,1,9,3,2,1,1,1,810,6279536.496657,0,0,0,0,0,0
20130112120722,1,10,3,1,1,2,2,910,3555963.779314,0,0,0,0,0,0
20130112120724,1,7,2,2,2,2,1,825,3556982.099067,0,0,0,0,0,0
20130112120727,1,7,3,2,1,1,2,722,4266454.709493,0,0,0,0,0,0
20130112120731,1,5,3,2,2,2,2,655,7385287.678264,0,0,0,0,0,0
20130112120733,1,5,4,1,2,2,2,975,9081305.452704,0,0,0,0,0,0
20130112120747,1,10,3,2,1,1,2,812,5787870.459043,0,0,0,0,0,0
20130112120748,1,5,4,1,1,1,2,838,5297479.408199,0,0,0,0,0,0
20130112120753,1,7,1,1,2,2,2,845,8828193.181903,0,0,0,0,0,0
20130112120763,1,8,2,2,2,2,2,830,3680350.265875,0,0,0,0,0,0
20130112120764,1,8,3,2,2,1,1,680,15770600.667598,0,0,0,0,0,0
20130112120766,1,10,2,1,2,1,2,695,5364190.024592,0,0,0,0,0,0
20130112120769,1,7,2,2,2,4,3,986,6789142.217219,0,0,0,0,0,0
20130112120772,1,5,3,2,2,2,2,910,29062024.153389,0,0,0,0,0,0
20130112120778,1,7,2,2,2,1,2,520,4470926.799370,0,0,0,0,0,0
20130112120781,1,9,2,1,2,2,2,825,5259323.000528,0,0,0,0,0,0
20130112120783,1,7,3,2,2,2,1,951,7879432.814832,0,0,0,0,0,0
20130112120785,1,7,2,2,1,1,1,880,8216569.620683,0,0,0,0,0,0
20130112120787,1,5,3,2,2,2,1,1030,22428798.802182,0,0,0,0,0,0
20130112120789,1,9,1,2,2,1,2,1084,18839768.760547,0,0,0,0,0,0
20130112120790,1,6,3,2,2,1,3,734,3355261.487105,0,0,0,0,0,0
20130112120791,1,9,1,2,1,2,2,755,15336796.661959,0,0,0,0,0,0
20130112120792,1,3,4,1,2,1,2,805,4312579.126981,0,0,0,0,0,0
20130112120797,1,9,3,2,2,2,2,960,11089287.156513,0,0,0,0,0,0
20130112120802,1,0,5,2,2,4,2,620,7499002.848641,0,0,0,0,0,0
20130112120804,1,9,2,1,2,2,2,907,4457184.282564,0,0,0,0,0,0
20130112120812,1,10,1,2,1,1,1,840,4365208.294139,0,0,0,0,0,0
20130112120814,1,7,3,1,1,1,3,615,13426919.147636,0,0,0,0,0,0
20130112120816,1,10,1,2,2,2,2,904,4756381.367802,0,0,0,0,0,0
20130112120818,1,10,4,2,2,1,2,955,2731422.321057,0,0,0,0,0,0
20130112120833,1,8,2,2,1,1,2,955,24600974.217116,0,0,0,0,0,0
20130112120835,1,10,2,2,2,1,1,836,3697037.349201,0,0,0,0,0,0
20130112120837,1,9,2,2,2,1,1,778,7921282.008520,0,0,0,0,0,0
20130112120839,1,8,2,2,1,2,2,690,7734496.600828,0,0,0,0,0,0
20130112120841,1,5,4,2,2,4,2,855,6624558.130838,0,0,0,0,0,0
20130112120844,1,10,2,1,1,2,2,923,3476681.389021,0,0,0,0,0,0
20130112120846,1,9,1,1,2,1,2,840,10493226.669878,0,42,0,0,0,0
20130112120849,1,7,1,2,2,1,2,810,4345920.187614,0,0,0,0,0,0
20130112120851,1,9,3,1,2,1,2,780,5882754.035376,0,0,0,0,0,0
20130112120852,1,8,2,1,2,1,2,885,18369607.030610,0,0,0,0,0,0
20130112120855,1,6,2,2,2,2,1,800,93843779.940282,0,0,0,0,0,0
20130112120860,1,7,4,1,1,1,2,960,26444433.979990,0,0,0,0,0,0
20130112120862,1,8,3,2,1,4,1,915,12596656.071171,0,0,0,0,0,0
20130112120865,1,8,1,2,1,2,2,910,2255853.607629,0,0,0,0,0,0
20130112120882,1,7,4,2,2,1,2,765,5104953.257177,0,0,0,0,0,0
20130112120884,1,9,3,1,1,2,2,980,5372710.450745,0,0,0,0,0,0
